review,label
"We are happy with this purchase. The chair was not difficult to assemble and seems like it will be a nice piece to have as our baby boy grows up. Because it is a toddler rocker, it is a bit wide, so our son ends up tilting a bit to the side since he isn't wide enough for the chair yet and isn't quite strong enough to sit straight on his own. The recline and upright angles aren't very different from each other, but they work just fine.",1
"this stuff has saved my son from severe diaper rash.. For wipes, I use a non-alcholic witch hazel and use cotton balls.. it's really is amazing.. but i wish it came in a bigger tube!",1
"Great, great first toy. I have twins, and this has been a great mat for them to discover new things to do, such as grabbing, feeling, etc. It also helps them immensely with tummy time. Instead of getting frustrated, my girls look at the vibrant colors or the mirror on their tummies while lifting their heads. Fabulous gift!",1
"This is a very handy product to have. It has it's own carry case, which is a great plus. It's perfect for traveling to grandparents or even hotels.",1
"Love the stroller. Bought it because my husabnd is 6'4"" and had problems kicking all other strollers when trying to push. The Peg Perego has a stroller with adjustable handles for a tall/average height couple but it only changes the height a couple inches versus the Maclaren change of three inches. The stroller is lightweight, easy to fold and looks to be comfy. My only complaint is no adult cup holder and when you put one on it usually gets messed up while folding. Not a big deal but worth mentioning. I got mine in red for MUCH less than list price after searching internet. (Really liked the lilac but it was $100 more and I did not think a color was worth that much more money)",1
"I was a little hesitant after reading some of the negative reviews, but my 2 1/2 month old loves it and we haven't had any problems with leakage or anything. The flaps are a little pointless for her, but other than that it's really cool! I think it is absolutely worth the money!",1
"We bought this booster seat for our 4 year old, very slim daughter. Since she weighs 30 pounds I was looking for a very safe seat for her. She LOVES this seat. She feels like such a big kid. After using it for several weeks now, I feel very good about how the seat belt itself is not too high, and the comfort of the seat. She loves to unbuckle it herself when we get to a location and tells me the seat is very comfortable. It has been extremely easy to install and move around when we need to, and I am very happy with this purchase. The only possible negative I can think of is that you have to pay a little more for the girl print. I still don't get that part. She loves the colors, and I love how sturdy it is compared to the other boosters we have used. I would definitely recommend this product to others (and have done so).",1
"We purchased a jumperoo at the advice of friends, as our little one needed to do more than lay on her back or have tummy time while playing. We were glad to have selected the Rainforest Jumperoo--She loves it! She weighs about 20 lbs, so you have to be careful to get her feet through the two footholes. The seat is just right, although I don't know how much longer she will be able to get into and out of it, but it works fine, and she jumps excitedly for long periods of time (not just a 5-minute gig). It's nice for me when I need to do some work in kitchen.My husband wishes they made one for adults...grin!",1
"I bought this pail when I had my second child. I used the Dekor before and decided to try something different. This pail is great. It is very easy to use and doesn't smell at all. At first, my two year old decided to put everything in it because it is so fun to use, but she soon learned that only dirty diapers go in it. The only drawback is the the shoot does get pretty dirty and needs to be cleaned once in a while.",1
"We love this booster seat. It's simple, narrow (a plus for us, as we have three seats that need to fit) and the chest strap holders are attached. Absolutely love this booster!",1
We could not live without this. We traveled a lot with our daughter when she was between 4-10 months and this was essential for carrying her around airports to keep her safe and our hands free.,1
"Great for 18 month old. Cleans easy w/ no seams or crevices to worry about. Lifts up and sets in easily. Love the rubber around the foot print to stop from sliding or ""driving"" potty around tile floor. Very lightweight but doesn't tip over easily when little ones are practicing getting up and down. I have two - one for each floor of the house.",1
"We too, were thinking that we'd later have to use a rental or buy the more expensive pump but ,this one really does the trick. It's awesome, I take it to work with me and I'm able to store the milk right in the case. It's also quiet enough that everyone doesn't have to know when I'm pumping. This is a good buy, don't waste your money on the more expensive pumps.",1
"These bottles frustrated me at first, but once I got them &quot;down pat&quot; they have been great and I think they really do keep the air out and keep gas to a minimum. The early frustrations: the nipple is a little too big for a newborn, although he got the hang of it. The hole in Stage One is too small, even for a newborn, and made him suck WAY too hard..so hard, it left a mark on his upper lip!! So I made the hole a little bigger with a red hot needle tip. The bottom plastic piece (the &quot;vent&quot; piece) is a little tricky to get in place properly -- you really have to dig in there and make sure it's right or the bottom will leak (my husband still can't get this part right)...if the top ring/nipple leaks just pull the nipple up a little and adjust the tension of the ring. Sounds like a lot of work, and feels like a lot of work the first few days home when your starving infant is howling to eat, but once you get into the groove, they are great bottles. Playtex should make a few improvements, and also provide clearer directions with the bottles. I somewhat regret not starting my baby out on the Playtex Nurser Disposable system, though. It's too late now, because he is used to the nipple on the VentAir and wants nothing to do with several versions of the Nurser nipple, including the new silicone version that isn't as &quot;square-like&quot; as the latex nipple.",1
I recieved this pump from my hospital when I had my baby. I have to say I have two electric pumps one medela and one playtex and they all take out milk about the same. I use this pump when my baby is sleeping and I need to pump out some milk. The handle is kind of weird but it works really well.I prefer using the pump without the flexishield.I think any standard bottle screws on to this pump I use my medela bottles on this pump too. I recommend this pump for anyone who wants a easy to use and easy to clean product,1
"I purchased the Graco SnugRider Infant Car Seat Stroller Frame to use w/ my SnugRide 32 infant car seat. The stroller frame works just like a snap 'n go, is easy to put together and has a large basket just as pictured. It's lightweight and easy to get the car seat in and out of. I know I will get a lot of use out of this item once baby arrives. Amazon had the best price, very quick delivery and no hassles.",1
"This has to be one of the best strollers ever. I have the stroller and matching car seat/carrier as a travel system. Easy open, easy close, and very easy rolling (smooth as roller blades). Grandma is 76 years old and has no problem managing this stroller - she wishes she had strollers that rolled this well for her 4 kids. Lightweight for a full-size stroller. Very durable - still looks new after 16 months. Canopy is great for sun and wind. Large, easy to access basket. Boot is great in winter - throw a warm blanket on their legs under the boot and you don't have to bundle them up like the Stay-Puff marshmallow man. The reversible handles are great when your infant has outgrown the carrier but you still want them to face you in the stroller. New snack tray is a great addition, and as always with Peg Perego, new features can be retrofitted to the older models. Worth every penny.",1
"Beautiful piece of furniture, but my toddler grabbed a drawer on the side and tried to climb up to see in her drawer, and it bent the sliding rods. My husband had to man handle it so it would go back in the dresser. Other than that it's great- fits much more than the set I bought at R2G, and less expensive.",1
"This item is great! I bought this instead of the Bumbo seat for a few reasons.1.) This one came with a tray, toy, and 2 place mats for cheaper than I could have gotten the Bumbo seat with its accessories.2.) I like how when my daughter sits in the BebePod, her legs are comfortably pointing downward instead of straight out like the Bumbo seat.3.) I love the Kiwi color!!Others complained about a chemical smell - I never had that.A couple things I wish were a little different:1.) I wish the backrest was not so rounded at the top and I like how the Bumbo seat has ""arm rests"" in a way.2.) The BebePod is quite slippery and it looks like the Bumbo seat is not. (I've never even touched a Bumbo seat though so I don't know for sure.)3.) While the Bebepod is foam, it's a little harder than I expected. I'm curious to know if the Bumbo seat is any softer. On the other hand, I understand it can't be too soft or it wouldn't be safe enough for a baby to sit in it.But this product was great for what I was looking for! My daughter is 14 weeks old and so far seems to enjoy it. She's not quite coordinated enough yet to play with the toy, but I'm sure she'll love it.******UPDATE*********We absolutely LOVE the bebePod! Our daughter is 8 months old now and it's one of her favorite places to be! She ABSOLUTELY LOVES the toy it comes with and spends a long time contently playing with it! She gets so excited when she sees it coming!VERY HAPPY with our decision to purchase this over the Bumbo seat. We love how the tray slides in instead of just sits on top like the bumbo tray. So far, the toy has yet to be pulled out of the tray by our daughter, which is something I was worried about.I put her in it while I shower and get ready for the day, giving me all the time in the world!!BUY IT! You'll LOVE it!",1
"Length:: 0:36 MinsOur newborn used to hate tummy time until my sister got us this as a gift! Now he loves loves tummy time. This is him doing TT at 3 weeks. The best part is that this can be used for multiple things, like making the stroller cozy for walks. It is very soft and cozy. I wish I had one in my size!My sister also got us the lambskin wash too. The directions for maintaining the lambskin doesn't require it but it seems like a good idea to use. You should wash it once a month.",1
"I bought this for my 14 month old who likes to swing a leg over the crib rail like she's trying to get out. I hope this keeps her from being able to climb out for a while. Also, it gives her extra warmth without having to worry about keeping a blanket on top of her.",1
"Good price for a cute cover for your boppy. Not quite as soft as the plush covers, but totally reasonable softness--like a crib sheet. This design is not mommy-chic but it is baby-cute.",1
"This is similar to Avent wide neck bottle but I got this because this claim to be Bisphenal A free. Although BPA is not a officially banned, why take a chance. It's a little more expensive than other bottles; about $10 each. The only con is that there is an air venting piece which means more to clean but much easier compared to the Dr. Brown tubes. I'm glad that I could boil the bottles knowing that no chemicals are leaked out.",1
"I have an electric stove and for the big knobs it worked perfect so no one can just push it in and turn them on, but for the smaller knobs on the stove I was not able to use these. I would love for them to make these for smaller knobs as well, but for now i can just pull the smaller knobs off so little hands can't turn them.",1
"About a year ago, we looked at front swivel wheel jogging strollers. We wanted one with a supportive seat that would allow our son to sit more upright than most jogging strollers allowed. We also wanted one with a child tray. We opted to get the Instep Safari TT Single Stroller (which I think is the same as the Schwinn Safari TT Swivel Stroller) over one of the Jeep Liberty Limited Urban Terrain Strollers. We were able to buy the Instep much cheaper than the Jeep. Also, the Jeep we saw had speakers for a cd player which we had no interest in using. We have just recently purchased a used 2003 Jeep stroller. For our current off-road, non-jogging purposes, this is working out better.I would like to offer our comparison of the Instep/Schwinn Safari and the Jeep. There seems to be a few choices in Jeep models. Ours is used and I don't know which we have. Therefore, these are just basic guidelines.We've taken both strollers around a neighborhood with sporadic sidewalks and no curb cutouts and both have handled the mixed/rough terrain well. We've also walked on the university campus where there are small (2') hills and both strollers go up and down them fine.My main complaints with the Instep, and what I like about the Jeep, are little things. The cupholders are so shallow that bottles of water fall over. The child tray is not removable. When our son falls asleep we have to lift him out over the tray. The sunshade is beyond stupid. We live in Arizona and the Instep shade provides no protection from the sun. It actually curves upwards. We bought a Kiddopotamus sunshade. Although it provides ample sun protection, our son must essentially look out a tube. I don't know if the Jeep sunshade will be better, we haven't used it for daytime walks yet. However, it seems bigger and does not curve up and let the sun in. I will address the bad Instep brakes later.The Instep is bigger and the seat for the child is roomier. However, there is more head clearance space under the Jeep Canopy. I wonder if the foot rest on the Jeep will be outgrown faster than the footrest on the Instep.The seat on the Jeep seems better padded. The one we bought was FILTHY when we got it and it cleaned up easily. I had been certain it would be covered in stains, but it looks brand new. The Instep has a thin seat cover that can be removed for washing. However, it is velcroed in place. When our son sits down, we have to hold the pad in place or it slips and wads up underneath him.There are reflectors attached all over the Jeep. The Instep has no reflectors that I've ever noticed.The handle on the Instep is adjustable, so you can make it taller. You can also position it facing backwards and be further back from the stroller. This is probably advantageous for joggers. The Jeep is okay height for me 5'7"" and I think my 6' husband is okay, but much taller and the Jeep handle might be too short.The back wheels on our Instep are bigger than the rear wheels on the Jeep. That might make a difference for someone who jogs. I haven't jogged with either stroller.Our Instep has a locking front wheel as does our Jeep. I don't know if all models of each brand lock or not.The brake system on the Jeep is better. Although they both have foot brakes that interact with the rear wheels, the Instep partially falls into place when you go over bumps. You then get a bump-bump-bump rhythm in the stroller. My husband actually stretched a bungie cord between the handle bar and the foot bar to prevent this. I haven't noticed the Jeep brake falling into place.I like the cargo basket better on the Jeep because it is bigger and much more accessible. Another advantage of the Jeep is for our son. He loves to push the stroller like he does shopping carts. He grabs the horizontal bar at the back of the stroller and pushes. On the Instep, this is the brake so he sets the brake. On the Jeep, he grabs and pushes with the cargo basket so he does not set the brake. The cargo basket on the Instep is very inconvenient. It's small and it is hard to get stuff in and out. I suspect for someone jogging, they would collide with the Jeep basket but not with the Instep basket.We've never used the Instep as a jogger, but rather as an off-road stroller. Now that I have used both, I think the Jeep is better for off-road general stroller, but the Instep is probably better for jogging. I still like the cup holders, sunshade, brakes, and removable tray of the Jeep MUCH better and think the Instep would be a superior stroller if it had those. Although I like the jeep cargo basket for my purpose, I think the Instep cargo basket that doesn't stick back, the handle that folds backwards, and the large rear wheels could possibly make a difference for a jogger.As of this writing, amazon does not offer the front swivel Jeep. However, it can be ordered from other sites. Some models are as cheap as $100 at some retailers.",1
"Great iteam,no odor ,I keep it in the babys room no bad smell you could use regular trash bags no necessary needs to buy special ones.A friend gave it to us cause his baby dont need it and still work as new...I was thinking to buy it at first when i saw it at the store...",1
I decorated my entire nursery with this theme and am so pleased I could not have found a better set than this one...I highly recommend this set to everyone...,1
"We've used this monitor for 4 months now.Likes:- very sensitive. Went off only once with baby in bed (because the sensor pad had been moved to one side of the crib after changing the sheets and the baby was on the other side of the crib)- can turn off movement sensor to just use sound monitor- gives me some extra ease of mind even though my baby is low risk of SIDS- has two receiving units- long enough range that I can take the receiving unit outside- receiving unit lights up when baby cries (nice for use while taking a shower)Dislikes:- only has 2 channels. Receiving units pick up static almost all the time from lights, computers, cell phone, you name it. However, we have not picked up our nextdoor neighbor's baby monitor.- hard to turn off receiving unit without loud static noise (not good for middle of the night feedings when you want your spouse to stay asleep)- need board over springs on crib for movement sensor pad- very senstive - the baby's ceiling fan on high moves the mobile, which is attached to the crib, enough that the sensor picks up movement even with the baby not in the crib. Also, adults walking around the nursery causes the sensor pad to pick up movement.- alarm goes off when you pick up the baby and forget to switch off the movement sensor",1
"The bag was a little stiff at first. The Graco car seat fits in great. It was easy to put in and remove from bag, it comes with a strap if you need to tote it around.",1
This is a cute curtain although it is an orange/pink rather than the pink it shows in the picture. My problem with it was that in the description it is supposed to be 84 inches long and it is only 55 inches long. Now I have to order a second one so that it will be long enough to cover my window. It does look nice in the window though.,1
"This is a great gate! Super easy to install! Unlike other reviewers, ours makes little to no noise when it closes. And our 10 month old son has been able to walk out of it without tripping over the bar across the bottom. The gate is very study and has a better ""look"" than many of the other baby gates. We are definitely pleased!",1
"This bag fits our Keyfit carseat and our Chicco umbrella stroller, which is nice because you don't have to pay for it when you check it! Wish the bag was padded but it is good otherwise.",1
"Our baby LOVES this bed! The attachable toy hanger is great for suspending little toys above her so she can bat and play with them. The bed is very sturdy and easy to open and close and comes with a duffel style bag for transporting. Very light weight, easy to move around. Colors go very well together. Great product!",1
"My 2 month old baby absolutely adores this mobile. Whenever we put her under it (it's attached to her crib, but she still sleeps in a cradle), she stares up at it with great interest. Even better, it often elicits smiles and laughs!Many reviewers are disappointed that the mobile doesn't move, but, personally, I don't think that's a problem. Sometimes I move the mobile for her, but it doesn't seem necessary. She's perfectly content when it's stationary.Here are some of the downsides:1) It didn't come with all of the pictures shown :/ We got two sets of the same pictures. I'm not sure if this was a mistake or if this is what everyone gets.2) Switching out the pictures is not easy--the holes are small and the cards are not flexible.3) The mounting arm, a huge chunk of plastic, is rather unattractive. It was, initially, kinda painful to install this in my daughter's otherwise adorable (and nearly plastic free) nursery. But. . . she does love it, so I'm over it.It's not a perfect mobile, but I'd still highly recommend it.",1
"I like that the towel is big, soft and absorbent. The only thing I don't like is that the monkey applique is rough and we can't really dry our son's hair with that portion since it's too rough.",1
"Why even wait to see if your baby is gassy...try these bottles. Most people complain about all of the parts, but there really aren't many and it's worth the few extra seconds per bottle to clean the additional pieces.",1
"This cover is great and we use it every day with our daughter. It really is quite warm - when our daughter is in the Bjorn her front side stays toasty, and this cover really keeps the heat in so we don't have to overdress her. In cold weather we just put on her jacket and a hat, and then this cover makes everything toasty. I only wish we could use it longer, as she's getting too tall!",1
